Wavelength(nm)	File_Name	Band
546.19	2	1
550.96	3	2
555.73	4	3
560.49	5	4
565.26	6	5
570.03	7	6
574.80	8	7
579.57	9	8
584.33	10	9
589.10	11	10
593.87	12	11
598.64	13	12
603.41	14	13
608.17	15	14
612.94	16	15
617.71	17	16
622.48	18	17
627.25	19	18
632.01	20	19
636.78	21	20
641.55	22	21
646.32	23	22
651.09	24	23
655.85	25	24
660.62	26	25
665.39	27	26
670.16	28	27
674.93	29	28
679.69	30	29
684.46	31	30
689.23	32	31
694.00	33	32
698.77	34	33
703.55	35	34
708.30	36	35
713.07	37	36
717.84	38	37
722.61	39	38
727.37	40	39
732.14	41	40
736.91	42	41
741.68	43	42
746.45	44	43
751.21	45	44
755.98	46	45
760.75	47	46
765.52	48	47
770.29	49	48
775.05	50	49
779.82	51	50
784.59	52	51
789.36	53	52
794.13	54	53
798.89	55	54
803.66	56	55
808.43	57	56
813.20	58	57
817.97	59	58
822.73	60	59
827.50	61	60
832.27	62	61
837.04	63	62
841.81	64	63
846.57	65	64
851.34	66	65
856.11	67	66
860.88	68	67
865.65	69	68
870.41	70	69
875.18	71	70
879.95	72	71
884.72	73	72
889.49	74	73
894.25	75	74
899.02	76	75
903.79	77	76
908.56	78	77
913.33	79	78
918.09	80	79
922.86	81	80
927.63	82	81
932.40	83	82
937.17	84	83
941.93	85	84
946.70	86	85
951.47	87	86
956.24	88	87
961.01	89	88
965.77	90	89
970.54	91	90
975.31	92	91
980.08	93	92
984.85	94	93
989.61	95	94
994.38	96	95
999.15	97	96
1003.92	98	97
1008.69	99	98
1013.45	100	99
1018.22	101	100
1022.99	102	101
1027.76	103	102
1032.53	104	103
1037.29	105	104
1042.06	106	105
1046.83	107	106
1051.60	108	107
1056.37	109	108
1061.13	110	109
1065.90	111	110
1070.67	112	111
1075.44	113	112
1080.21	114	113
1084.97	115	114
1089.74	116	115
1094.51	117	116
1099.28	118	117
1104.05	119	118
1108.81	120	119
1113.58	121	120
1118.35	122	121
1123.12	123	122
1127.89	124	123
1132.65	125	124
1137.42	126	125
1142.19	127	126
1146.96	128	127
1151.73	129	128
1156.49	130	129
1161.26	131	130
1166.03	132	131
1170.80	133	132
1175.57	134	133
1180.33	135	134
1185.10	136	135
1189.87	137	136
1194.64	138	137
1199.41	139	138
1204.17	140	139
1208.94	141	140
1213.71	142	141
1218.48	143	142
1223.25	144	143
1228.01	145	144
1232.70	146	145
1237.55	147	146
1242.32	148	147
1247.09	149	148
1251.85	150	149
1256.62	151	150
1261.39	152	151
1266.16	153	152
1270.93	154	153
1275.69	155	154
1280.46	156	155
1285.23	157	156
1290.00	158	157
1294.77	159	158
1299.53	160	159
1304.30	161	160
1309.07	162	161
1313.84	163	162
1318.61	164	163
1323.37	165	164
1328.14	166	165
1332.91	167	166
1337.68	168	167
1342.45	169	168
1347.21	170	169
1351.98	171	170
1356.75	172	171
1361.52	173	172
1366.29	174	173
1371.05	175	174
1375.82	176	175
1380.59	177	176
1385.36	178	177
1390.13	179	178
1394.89	180	179
1399.66	181	180
1404.43	182	181
1409.20	183	182
1413.97	184	183
1418.73	185	184
1423.50	186	185
1428.27	187	186
1433.04	188	187
1437.81	189	188
1442.57	190	189
1447.34	191	190
1452.11	192	191
1456.88	193	192
1461.65	194	193
1466.41	195	194
1471.18	196	195
1475.95	197	196
1480.72	198	197
1485.49	199	198
1490.25	200	199
1495.02	201	200
1499.79	202	201
1504.56	203	202
1509.33	204	203
1514.09	205	204
1518.86	206	205
1523.63	207	206
1528.40	208	207
1533.17	209	208
1537.93	210	209
1542.70	211	210
1547.47	212	211
1552.24	213	212
1557.01	214	213
1561.77	215	214
1566.54	216	215
1571.31	217	216
1576.08	218	217
1580.85	219	218
1585.61	220	219
1590.38	221	220
1595.15	222	221
1599.92	223	222
1604.69	224	223
1609.45	225	224
1614.22	226	225
1618.99	227	226
1623.76	228	227
1628.53	229	228
1633.29	230	229
1638.06	231	230
1642.83	232	231
1647.60	233	232
1652.37	234	233
1657.13	235	234
1661.90	236	235
1666.67	237	236
1671.44	238	237
1676.21	239	238
1680.97	240	239
1685.74	241	240
1690.51	242	241
1695.28	243	242
1700.05	244	243
